accx,accy,accz,dpsx,dpsy,dpsz,roll,pitch,rpm,vel,temp_motor,soc,temp_cvt,volt,current,flags,latitude,longitude,timestamp
0.17,0.86,-2.19,2.03,2.14,0.11,1.16,-1.85,5289.83,31.14,89.72,0.35,97.33,11.29,120.06,0.55,-8.060463,-34.899662,2025-07-12T18:49:53.301280
-1.85,-0.91,0.43,2.82,-1.47,-1.28,1.32,2.71,1621.14,34.07,102.48,85.37,65.41,11.9,126.47,0.4,-8.059163,-34.900918,2025-07-12T18:50:44.974185
-0.05,-1.55,-1.23,0.15,2.4,-1.06,0.04,-0.57,6123.79,20.82,83.03,49.87,77.29,10.95,238.41,0.54,-8.060814,-34.900891,2025-07-12T18:50:45.474185
2.45,2.03,0.68,-0.43,1.01,-1.07,-2.35,-2.74,6080.99,14.89,97.07,93.82,66.0,12.18,234.63,0.38,-8.059561,-34.90082,2025-07-12T18:50:45.974185
0.91,0.94,1.86,2.35,2.61,-2.59,-0.03,1.17,1053.39,20.57,61.01,54.49,86.7,12.73,106.89,0.41,-8.060807,-34.899066,2025-07-12T18:50:46.474185
-1.55,-0.48,-1.36,0.15,1.61,2.56,-2.62,0.58,3146.94,25.22,90.43,79.94,99.56,11.3,166.52,0.73,-8.060603,-34.899501,2025-07-12T18:50:46.974185
-1.3,2.46,-2.4,0.79,0.14,0.09,2.08,0.05,1215.77,44.59,81.03,97.8,55.65,10.82,491.63,0.26,-8.05927,-34.899878,2025-07-12T18:50:47.474185
0.54,2.31,-2.72,-2.67,-2.33,-2.02,-0.14,-1.44,6751.86,1.62,63.52,45.87,53.12,11.6,144.91,0.81,-8.059238,-34.900558,2025-07-12T18:50:47.974185
2.86,-0.38,-2.9,2.76,2.0,-1.58,0.75,2.18,1574.17,21.05,70.54,83.03,81.23,10.54,314.49,0.76,-8.060463,-34.900671,2025-07-12T18:50:48.474185
1.41,-1.01,0.24,1.75,0.42,2.9,2.77,2.88,126.0,11.41,90.27,11.22,60.88,11.65,457.91,0.97,-8.060031,-34.900096,2025-07-12T18:50:48.974185
-1.85,2.89,1.39,1.11,1.23,2.25,2.37,-2.69,7324.52,53.44,82.63,95.78,61.2,11.8,194.41,0.23,-8.060247,-34.900934,2025-07-12T18:50:49.474185
-0.32,-0.11,-1.94,2.17,-1.38,-1.32,-0.42,0.91,6845.73,11.78,86.39,10.55,53.63,11.63,436.04,0.41,-8.060071,-34.8998,2025-07-12T18:50:49.974185
-2.65,2.87,2.09,-0.31,-1.87,2.64,0.02,-1.4,1742.3,29.03,106.98,68.28,95.26,11.75,429.78,0.11,-8.059882,-34.900488,2025-07-12T18:50:50.474185
-0.88,0.4,0.33,1.52,-1.68,-1.66,-1.81,0.2,355.81,19.41,97.65,88.04,53.01,11.65,398.63,0.78,-8.060821,-34.899741,2025-07-12T18:50:50.974185
-1.46,2.26,-0.18,0.44,1.74,0.64,-0.14,-1.05,5097.01,7.7,86.37,70.6,51.88,10.81,306.86,0.4,-8.059703,-34.900319,2025-07-12T18:50:51.474185
0.65,1.36,-2.47,2.01,-2.28,-1.04,2.78,-0.52,358.87,51.49,80.21,22.01,69.7,12.04,369.59,0.34,-8.059345,-34.899379,2025-07-12T18:50:51.974185
2.62,2.39,0.73,-0.86,2.76,0.81,1.38,-2.5,5906.25,18.62,101.96,78.57,72.59,10.87,473.89,0.54,-8.059089,-34.899234,2025-07-12T18:50:52.474185
