accx,accy,accz,dpsx,dpsy,dpsz,roll,pitch,rpm,vel,temp_motor,soc,temp_cvt,volt,current,flags,latitude,longitude,timestamp
0.01,-0.07,9.46,0.52,0.23,-0.13,-3.81,-0.21,5203.68,43.62,63.4,99.7,52.8,12.99,213.0,0,-8.054052,-34.881246,2025-07-21T10:01:52.540302
0.01,0.0,9.66,-0.77,0.43,-0.58,0.8,-2.55,5244.17,43.62,63.4,99.7,52.8,12.99,279.7,0,-8.054052,-34.881246,2025-07-21T10:01:53.040302
0.01,-0.09,9.65,-0.96,0.5,0.63,5.0,-2.8,5412.95,43.62,63.4,99.7,52.8,12.99,225.6,0,-8.054052,-34.881246,2025-07-21T10:01:53.540302
0.01,-0.08,9.52,0.89,-0.81,0.73,2.83,0.93,5386.85,43.63,63.4,99.7,52.8,12.99,175.5,0,-8.054052,-34.881246,2025-07-21T10:01:54.040302
0.01,-0.05,9.69,-0.38,-0.51,0.81,-3.61,0.21,5397.84,43.63,63.4,99.7,52.9,12.99,221.9,0,-8.054052,-34.881246,2025-07-21T10:01:54.540302
0.01,-0.2,9.48,-0.13,0.92,0.7,-1.99,4.62,5107.13,43.63,63.4,99.7,52.9,12.99,161.2,0,-8.054052,-34.881246,2025-07-21T10:01:55.040302
0.01,-0.11,9.54,0.85,0.28,-0.41,-3.2,-2.27,5326.17,43.64,63.4,99.7,52.9,12.99,194.6,0,-8.054052,-34.881246,2025-07-21T10:01:55.540302
0.01,0.08,9.5,0.21,-0.25,0.2,-0.38,3.9,5262.89,43.64,63.4,99.7,52.9,12.99,162.6,0,-8.054052,-34.881246,2025-07-21T10:01:56.040302
0.01,0.12,9.59,-0.31,-0.59,-0.98,4.03,-4.61,5330.64,43.64,63.4,99.7,52.9,12.99,154.8,0,-8.054052,-34.881246,2025-07-21T10:01:56.540302
0.01,0.12,9.58,0.43,-0.29,-0.95,-1.08,4.11,5427.5,43.65,63.4,99.7,52.9,12.99,162.3,0,-8.054051,-34.881246,2025-07-21T10:01:57.040302
0.01,-0.03,9.76,0.97,0.82,-0.08,1.98,-0.2,5300.54,43.65,63.4,99.7,52.9,12.99,282.4,0,-8.054051,-34.881246,2025-07-21T10:01:57.540302
0.01,0.15,9.52,0.44,-0.01,-1.0,-3.25,-4.06,5052.68,43.65,63.4,99.7,52.9,12.99,282.3,0,-8.054051,-34.881246,2025-07-21T10:01:58.040302
0.01,0.13,9.49,0.92,-0.3,0.67,-2.88,3.72,5343.84,43.65,63.4,99.7,52.9,12.99,296.1,0,-8.054051,-34.881246,2025-07-21T10:01:58.540302
0.01,-0.1,9.63,-0.04,0.24,-0.75,-3.49,-1.76,5180.96,43.66,63.4,99.7,52.9,12.99,229.2,0,-8.054051,-34.881246,2025-07-21T10:01:59.040302
0.01,-0.1,9.57,-0.28,0.23,0.7,-3.95,4.95,5278.35,43.66,63.4,99.7,52.9,12.99,278.2,0,-8.054051,-34.881246,2025-07-21T10:01:59.540302
0.01,0.05,9.8,0.77,-0.83,0.81,-2.99,-1.95,5250.47,43.66,63.4,99.7,52.9,12.99,152.2,0,-8.054051,-34.881246,2025-07-21T10:02:00.040302
0.01,0.13,9.55,0.68,-0.37,0.9,-4.61,-2.17,5358.72,43.66,63.4,99.7,52.9,12.99,156.9,0,-8.054051,-34.881246,2025-07-21T10:02:00.540302
0.01,-0.13,9.4,-0.61,0.49,0.54,1.84,-3.08,5211.76,43.67,63.4,99.7,52.9,12.99,174.9,0,-8.054051,-34.881246,2025-07-21T10:02:01.040302
0.01,0.0,9.74,0.15,0.62,0.66,2.52,1.19,5395.41,43.67,63.4,99.7,52.9,12.99,294.9,0,-8.054051,-34.881246,2025-07-21T10:02:01.540302
0.01,-0.03,9.58,-0.5,0.48,-0.7,-3.48,-1.76,5432.46,43.67,63.4,99.7,52.9,12.99,283.3,0,-8.054051,-34.881246,2025-07-21T10:02:02.040302
0.01,-0.05,9.52,0.87,-0.79,-0.43,-0.34,1.2,5323.13,43.68,63.4,99.7,52.9,12.99,273.8,0,-8.054051,-34.881246,2025-07-21T10:02:02.540302
0.01,-0.0,9.44,-0.85,-0.24,-0.39,-4.16,-0.78,5250.24,43.68,63.4,99.7,52.9,12.99,183.6,0,-8.05405,-34.881246,2025-07-21T10:02:03.040302
0.01,-0.07,9.46,-0.58,0.67,-0.47,-3.2,3.72,5355.44,43.68,63.4,99.7,52.9,12.99,233.4,0,-8.05405,-34.881246,2025-07-21T10:02:03.540302
0.01,0.19,9.6,0.13,-0.42,0.85,0.97,-4.21,5148.24,43.68,63.4,99.7,52.9,12.99,236.2,0,-8.05405,-34.881246,2025-07-21T10:02:04.040302
0.01,0.15,9.61,-0.92,0.86,-0.63,2.97,2.11,5368.98,43.69,63.4,99.7,52.9,12.99,241.9,0,-8.05405,-34.881246,2025-07-21T10:02:04.540302
0.01,0.05,9.41,0.52,-0.83,-0.08,-4.27,0.32,5410.07,43.69,63.4,99.7,52.9,12.99,252.2,0,-8.05405,-34.881246,2025-07-21T10:02:05.040302
0.01,0.04,9.62,-0.24,0.62,0.14,4.16,4.51,5173.72,43.7,63.5,99.7,52.9,12.99,156.2,0,-8.05405,-34.881246,2025-07-21T10:02:05.540302
0.01,0.04,9.65,-0.56,0.61,-0.1,0.74,-3.91,5339.67,43.7,63.5,99.7,52.9,12.99,171.2,0,-8.05405,-34.881246,2025-07-21T10:02:06.040302
0.01,-0.02,9.51,0.65,-0.26,-0.96,4.0,-4.72,5097.43,43.7,63.5,99.7,52.9,12.99,242.4,0,-8.05405,-34.881246,2025-07-21T10:02:06.540302
0.01,0.14,9.68,0.51,0.89,-0.48,-1.53,-1.58,5219.34,43.7,63.5,99.7,52.9,12.99,242.7,0,-8.05405,-34.881246,2025-07-21T10:02:07.040302
0.01,-0.15,9.58,-0.24,0.48,-0.44,-2.18,1.55,5293.26,43.71,63.5,99.7,52.9,12.99,242.8,0,-8.054049,-34.881246,2025-07-21T10:02:07.540302
0.01,0.12,9.45,-0.63,-0.79,-0.04,-3.22,0.36,5265.81,43.71,63.5,99.7,52.9,12.99,266.4,0,-8.054049,-34.881245,2025-07-21T10:02:08.040302
0.01,0.0,9.73,-0.32,-0.61,-0.14,2.29,-2.53,5366.53,43.71,63.5,99.7,52.9,12.99,223.8,0,-8.054049,-34.881245,2025-07-21T10:02:08.540302
0.01,-0.02,9.44,-0.1,-0.0,0.17,3.57,-4.19,5427.18,43.72,63.5,99.7,52.9,12.99,270.3,0,-8.054049,-34.881245,2025-07-21T10:02:09.040302
0.01,0.15,9.43,0.67,-0.11,-0.14,-0.17,-1.67,5155.39,43.72,63.5,99.7,52.9,12.99,242.9,0,-8.054049,-34.881245,2025-07-21T10:02:09.540302
0.01,0.04,9.62,0.23,-0.05,-0.79,3.79,1.15,5143.25,43.72,63.5,99.7,52.9,12.99,242.0,0,-8.054049,-34.881245,2025-07-21T10:02:10.040302
0.01,0.04,9.65,0.45,0.59,0.14,4.6,-0.29,5443.65,43.73,63.5,99.7,52.9,12.99,246.2,0,-8.054049,-34.881245,2025-07-21T10:02:10.540302
0.01,0.16,9.49,0.53,0.14,0.1,-1.42,-1.68,5291.33,43.73,63.5,99.7,52.9,12.99,256.7,0,-8.054049,-34.881245,2025-07-21T10:02:11.040302
0.01,0.14,9.7,1.0,-0.33,0.19,-3.5,0.8,5313.4,43.73,63.5,99.7,52.9,12.99,200.1,0,-8.054049,-34.881245,2025-07-21T10:02:11.540302
0.01,-0.08,9.55,0.03,-0.7,-0.09,1.23,-0.86,5155.46,43.74,63.5,99.7,52.9,12.99,160.6,0,-8.054049,-34.881245,2025-07-21T10:02:12.040302
0.01,-0.04,9.51,-0.95,0.48,-0.84,-0.73,0.99,5173.74,43.74,63.5,99.7,52.9,12.99,241.2,0,-8.054048,-34.881245,2025-07-21T10:02:12.540302
0.01,0.12,9.79,0.72,0.54,0.05,-4.13,-1.63,5440.29,43.74,63.5,99.7,52.9,12.99,172.6,0,-8.054048,-34.881245,2025-07-21T10:02:13.040302
0.01,0.16,9.58,0.06,-0.11,0.54,2.27,-0.61,5165.25,43.74,63.5,99.7,52.9,12.99,289.3,0,-8.054048,-34.881245,2025-07-21T10:02:13.540302
0.01,-0.18,9.65,0.32,0.97,0.23,2.25,-2.32,5342.05,43.75,63.5,99.7,52.9,12.99,299.5,0,-8.054048,-34.881245,2025-07-21T10:02:14.040302
0.02,-0.18,9.73,0.71,0.07,0.58,4.24,0.59,5400.48,43.76,63.5,99.7,52.9,12.99,160.8,0,-8.054048,-34.881245,2025-07-21T10:02:14.540302
0.01,0.13,9.72,-0.46,-0.77,0.74,4.24,1.57,5345.22,43.76,63.5,99.7,52.9,12.99,267.5,0,-8.054048,-34.881245,2025-07-21T10:02:15.040302
